id,Year,Title,Abstract,include_stage2,reason_stage2,include_stage3,reason_stage3,include_stage4,reason_stage4,publication_type,confidence_stage4,include_stage5,reason_stage5,has_comparator,detected_comparator,has_primary_outcomes,detected_outcomes,confidence_stage5
J2880,2021,Status of primary and secondary mental healthcare of people with severe mental illness: An epidemiological study from the UK PARTNERS2 programme,Background,TRUE,Study is conducted in the UK as part of the UK PARTNERS2 programme.,TRUE,Study on mental healthcare likely involves NHS or community health settings.,TRUE,"Unclear publication type, flagged for review",Unknown,0.7,FALSE,Abstract lacks comparator and primary outcome details,FALSE,Unknown,FALSE,[],0.6
J2884,2021,Current perspectives on the attainment of lipid modification goals relating to the use of statins and ezetimibe for the prevention of cardiovascular disease in the united kingdom,"Despite widespread evidence of the effectiveness of lipid modification for the reduction of cardiovascular disease (CVD) risk, lipid modification goals are commonly underachieved in the United Kingdom (UK). In order to understand current UK lipid management guidance and the corresponding attainment of recommended lipid lowering goals relating to treatment with statins and ezetimibe, a literature review was conducted using PubMed focusing on publications between January 2017 and February 2020 in order to capture the most up-to-date literature. Identified publications were reviewed against key clinical guidelines for lipid management in relation to CVD risk from the National Institute for Health and Care Excellence (NICE, CG181), the Scottish Intercollegiate Guidelines Network (SIGN, 149) and European Society of Cardiology (ESC)/European Atherosclerosis Society (EAS). Cholesterol lowering goals are central to current lipid lowering therapy guidance, although specific goals vary depending on the guideline and patients' individual risk profile. Current guidance by NICE and SIGN specifies that treatment should achieve a greater than 40% reduction in non-high-density lipoprotein cholesterol (non-HDL-C) at 3 months of treatment, while the ESC/EAS place emphasis on the lowering of low-density lipoprotein (LDL-C) and total cholesterol. Yet, despite widespread availability of guidance and consistent messaging that lipid lowering goals should be ambitious, current evidence suggests a significant proportion of UK patients have sub-optimal reductions in cholesterol/non-HDL-C/LDL-C. The reasons for this are reported to be multifactorial, including a lack of compliance with guidelines, particularly regarding high-intensity statin prescribing, patient adherence, statin intolerance and statin reluctance as well as wider genetic factors. A number of possible strategies to improve current lipid management and attainment of lipid-lowering goals were identified, including improving the patient-healthcare professional partnership, conducting audits of local prescribing versus guidance, implement-ing plans for the refinement of current services and considering alternative options such as cost-effective single pill combinations for improving adherence. Copyright Ã‚Â© 2021 Reynolds et al.",TRUE,Study focuses on lipid management in the UK with references to NICE and SIGN guidelines.,TRUE,Study context implies NHS or community health settings.,TRUE,Appears to be a peer-reviewed article.,Peer-reviewed,0.9,FALSE,No explicit or implicit comparator group detected,FALSE,Unknown,TRUE,['clinical'],0.8
J2885,2021,Fluid prescribing and administration: Arewe following NHS Fife IV fluid guidance?,"Background: A programme in NHS Fife, aiming toimprove intravenous (IV) fluid prescription and fluid balance charting, began in 2009 with audits examining fluidprescribing in the Queen Margaret Hospital, Dunfermline.It was led by a consultant anaesthetist, renal physician,ortho-geriatrician, general surgeon and pharmacist, whowere joined in 2014 by the first Fluid Management Nursein NHS Scotland. This is now a permanent post in Fife.The group developed the NHS Fife Guidance for IV Fluidand Electrolyte Prescription in Adults in 2012 and a newcombined fluid prescription and balance chart in 2014which incorporates the main points of the guidance atthe point of care. The guidance follows the NICEGuidelines for IV Fluid Therapy in Adults in Hospital(CG174). The guidance led to a significant reduction inthe use of 0.9% sodium chloride and associated acidosis,an overall reduction in fluid use, standardisation of fluidsstocked within ward areas and a significant cost saving.The focus has been on patient safety, avoiding harmfrom poor fluid prescribing, and a change in culturearound fluids with recognition of their importance inpatient care. NHS Fife's changes are now being spreadacross NHS Scotland in the National IV FluidImprovement Programme.Aims and objectives: These were to establish if theNHS Fife IV Fluid Guidance is being followed by all prescribers, to identify any areas where improvements maybe made and to provide evidence of progress to NHS Fifeand to the national fluid programme. Method(s): An audit tool was devised to capture detailedinformation on fluid prescribing: the reason for the prescription, prescribed rate in ml/hr or 'x hourly', fluid used,use of volumetric pumps, type of giving set used, use ofhourly infusion monitoring charts, recording of weight onthe prescription chart and whether giving sets wereflushed after drug administration.The data were collected over three separate days inAugust 2019 in the medical and surgical wards of theVictoria Hospital. Result(s): A total of 78 infusions were in progress in thewards; 40 were drug infusions and 38 IV fluid infusions.97% of prescriptions followed the guidelines for recommended fluid use and 92% had prescriptions in ml/h asrecommended (essential as both 500 ml and 1000 mlbags are now used).Other findings were that there are too many differentgiving sets in use and that a guide is needed to ensure thecorrect set is used and available, with potential cost savings. There were two outdated versions of the infusionmonitoring chart in use (since updated). Patient weightwas not universally recorded and some drug infusionswere not always adequately flushed through, resulting inunder-dosing of antibiotics in some cases, one byalmost half. Summary: Intravenous fluids were overwhelmingly prescribed according to the guidance, suggesting that it isfirmly embedded into practice in Fife. Continuing education aims to ensure that new prescribers are taught thisapproach and the national programme will gradually leadto a consistent approach to prescribing across Scotland,reducing variability and patient harm, caused by poor fluidmanagement. Any fluid improvement programme mustalso address nursing practice with regard to fluid balanceand administration, and look at practical issues aroundstock control and storage of IV fluids.",TRUE,"Study conducted in NHS Fife, Scotland.",TRUE,Study occurs in NHS hospital settings.,TRUE,"Unclear publication type, flagged for review",Unknown,0.6,FALSE,Audit without clear comparator or primary outcomes,FALSE,Unknown,TRUE,"['cost', 'safety']",0.7
J2896,2021,Dietetics and community pharmacy working together; improving nutritional care for patients prescribed oral nutritional supplements (ONS),A pilot to support Ã¢â‚¬ËœNew Ways of WorkingÃ¢â‚¬â„¢ for,TRUE,"Unclear setting, flagged for review",TRUE,"Involves community pharmacy and nutritional care, likely in community health settings.",TRUE,"Unclear publication type, flagged for review",Unknown,0.5,FALSE,Abstract lacks comparator and primary outcomes,FALSE,Unknown,FALSE,[],0.7
J2897,2021,Determinants of Human Papillomavirus Vaccine Uptake by Adult Women Attending Cervical Cancer Screening in 9 European Countries,"Introduction: Human papillomavirus-vaccinated cohorts, irrespective of age, will likely reduce their subsequent screening requirements, thus opening opportunities for global cost reduction and program sustainability. The determinants of uptake and completion of a 3-dose human papillomavirus vaccination program by adult women in a European context were estimated. Study design: This was an intervention study. Setting/participants: Study participants were women aged 25-45 years, attending opportunistic or population-based cervical cancer screening in Belgium, Denmark, Finland, France, Germany, Slovenia, Spain, Sweden, and the United Kingdom between April 2016 and May 2018. Intervention(s): Study participants completed a questionnaire on awareness and attitudes on adult female human papillomavirus vaccination and were invited to receive free human papillomavirus vaccination. Main Outcome Measure(s): Main outcome measures were acceptance, uptake, and completion of vaccination schedule. Determinants of vaccine uptake were explored using multilevel logistic models in 2019. Result(s): Among 3,646 participants, 2,748 (range by country=50%-96%) accepted vaccination, and 2,151 (range=30%-93%) received the full vaccination course. The factors associated with higher vaccine acceptance were previous awareness of adult female (OR=1.22, 95% CI=1.00, 1.48) and male (OR=1.59, 95% CI=1.28, 1.97) vaccination. Women in stable relationships (OR=0.56, 95% CI=0.45, 0.69) or with higher educational level (OR=0.76, 95% CI=0.63, 0.93) were more likely to refuse vaccination. Recruitment by postal invitation versus personal invitation from a healthcare professional resulted in lower vaccine acceptance (OR=0.13, 95% CI=0.02, 0.76). Vaccination coverage of >70% of adolescent girls in national public programs was of borderline significance in predicting human papillomavirus vaccine uptake (OR=3.23, 95% CI=0.95, 10.97). The main reasons for vaccine refusal were vaccine safety concerns (range=30%-59%) and the need for more information on human papillomavirus vaccines (range=1%-72%). No safety issues were experienced by vaccinated women. Conclusion(s): Acceptance and schedule completion were largely dependent on recruitment method, achieved coverage of national vaccination programs, and personal relationship status. Knowledge of benefits and safety reassurance may be critical to expanding vaccination target ages. Study results suggest that there are no major opinion barriers in adult women to human papillomavirus vaccination, especially when vaccination is offered face to face in healthcare settings. Trial Registration: EudraCT Number 2014-003177-42. Copyright Ã‚Â© 2020 American Journal of Preventive Medicine",TRUE,Includes UK as a study site.,TRUE,"Study occurs in cervical cancer screening settings, likely in healthcare facilities.",TRUE,Peer-reviewed article in a reputable journal,Peer-reviewed,0.95,FALSE,No explicit or implicit comparator detected,FALSE,Unknown,TRUE,"['utilization', 'safety']",0.8
J2902,2021,How the United Kingdom Controls Pharmaceutical Prices and Spending: Learning From Its Experience,"To control costs and improve access, nations can adopt strategies employed in the United Kingdom to control pharmaceutical prices and spending. Current policy evolved from a system created in 1957 that allowed manufacturers to set launch prices, capped manufacturers' rates of return, and later cut list prices. These policies did not effectively control spending and had limited effects on purchase prices. The United Kingdom currently controls pharmaceutical spending in 4 ways. (a) Since 1999, it has typically paid no more than is cost-effective. (b) Since 2017, for medicines that will have a significant budget impact, National Health Service England seeks discounts from cost-effective prices or seeks to limit access for 2 years to patients with the greatest need. (c) Since 2014, statutes and a voluntary scheme have required branded manufacturers to pay the government rebates to recoup the difference between the global pharmaceutical budget and actual spending. (d) For hospitals, generics and some patented drugs are procured through competitive bidding; community pharmacies are reimbursed through a system that provides an incentive to beat average generic market prices. These policies controlled the growth of spending, with the largest effects following budget controls in 2014. Changes since 2008 have reduced savings, first by paying more than is cost-effective for cancer drugs and then by applying higher cost-effectiveness thresholds for some drugs used to treat cancer and certain other drugs.",TRUE,Study focuses on UK pharmaceutical policies and NHS.,TRUE,Discusses NHS pharmaceutical spending policies.,TRUE,Appears to be a peer-reviewed article on pharmaceutical policy.,Peer-reviewed,0.9,FALSE,No explicit or implicit comparator detected,FALSE,Unknown,TRUE,"['cost', 'clinical']",0.8
J2908,2021,An algorithm for differentiating food antigen-related gastrointestinal symptoms,"Aim: The aim of this clinical audit was to assess patient-reported outcomes on the effect of dietary intervention, to enhance our understanding of possible treatment options in irritable bowel syndrome (IBS). Background(s): A large number of food-related gastro-intestinal disorders have been attributed to IBS for decades. Method(s): Patient-reported outcomes from the records of 149 IBS patients treated at secondary and tertiary Gastroenterology outpatients in two UK hospitals between January 2014 and July 2016 were audited. Patients all presented with symptoms fulfilling Rome III-IV criteria for IBS had negative coeliac serology and did not have other gastrointestinal (GI) conditions. A modified version of a low FODMAP diet had been recommended (gluten and lactose free diet (G/LFD)) and was implemented for 6 weeks. Outcomes and dietary adherence were recorded during outpatient's consultations. Result(s): A total of 134 patients complied with the diet optimally. The majority had an improvement rate >70% and continued with the diet. Fifty-three percent became completely or almost asymptomatic, while 27.6% had a poor response to the diet (scoring < 30%) to G/LFD. The improvement was excellent in patients with normal BMI and good in overweight and obese and where BMI <18. Over 50% did not require any follow-up within 12 months. Conclusion(s): Although it is unclear whether symptoms are triggered by gluten, fructans or lactose, elimination of gluten and lactose proved to be an effective treatment in patients with IBS. Multidisciplinary team management and implementation of detailed nutrition therapy using the audit algorithm might prove to be both cost effective and efficacious a treatment option in IBS. Copyright Ã‚Â© 2021 Research Institute for Gastroenterology and Liver Diseases. All rights reserved.",TRUE,Study conducted in two UK hospitals.,TRUE,Study conducted in UK hospital outpatient settings.,TRUE,"Peer-reviewed article, not a protocol or commentary",Peer-reviewed,0.9,FALSE,Audit without explicit comparator or numeric pre/post deltas,FALSE,Unknown,TRUE,"['clinical', 'pro']",0.8
J2909,2021,An algorithm for differentiating food antigen-related gastrointestinal symptoms,"<b>AIM</b>: The aim of this clinical audit was to assess patient-reported outcomes on the effect of dietary intervention, to enhance our understanding of possible treatment options in irritable bowel syndrome (IBS).
<b>BACKGROUND</b>: A large number of food-related gastro-intestinal disorders have been attributed to IBS for decades.
<b>METHODS</b>: Patient-reported outcomes from the records of 149 IBS patients treated at secondary and tertiary Gastroenterology outpatients in two UK hospitals between January 2014 and July 2016 were audited. Patients all presented with symptoms fulfilling Rome III-IV criteria for IBS had negative coeliac serology and did not have other gastrointestinal (GI) conditions. A modified version of a low FODMAP diet had been recommended (gluten and lactose free diet (G/LFD)) and was implemented for 6 weeks. Outcomes and dietary adherence were recorded during outpatient's consultations.
<b>RESULTS</b>: A total of 134 patients complied with the diet optimally. The majority had an improvement rate >70% and continued with the diet. Fifty-three percent became completely or almost asymptomatic, while 27.6% had a poor response to the diet (scoring < 30%) to G/LFD. The improvement was excellent in patients with normal BMI and good in overweight and obese and where BMI <18. Over 50% did not require any follow-up within 12 months.
<b>CONCLUSION</b>: Although it is unclear whether symptoms are triggered by gluten, fructans or lactose, elimination of gluten and lactose proved to be an effective treatment in patients with IBS. Multidisciplinary team management and implementation of detailed nutrition therapy using the audit algorithm might prove to be both cost effective and efficacious a treatment option in IBS.",TRUE,Study conducted in UK hospitals,TRUE,Study occurs in UK hospital outpatient settings.,TRUE,Appears to be a peer-reviewed article with clinical audit results.,Peer-reviewed,0.9,FALSE,No comparator group detected,FALSE,Unknown,TRUE,"['clinical', 'cost']",0.9
J2910,2021,Expanding the provision of Intensive Outpatient Programmes ADD TO PS 5,"Intensive day-and home-based treatments are designed to support people diagnosed with severe eating disorders, and those for whom traditional outpatient treatment is not appropriate. They provide increased support compared to traditional outpatient treatment. Unlike inpatient treatment, there is no overnight stay and the patient typically returns home for evenings and weekends. The most common form of intensive outpatient treatment are day treatment programmes (DTPs); these also have the largest evidence-base. However, other models, for example home-based treatments also exist. Day-and home-based treatment programmes typically have the same therapeutic goals and components as inpatient treatment. Treatment goals for both inpatient and intensive day-and home-based treatment programmes tend to include medical stabilisation; weight restoration if needed; the cessation of symptoms such as binge eating and vomiting; the normalisation of eating; therapeutic exploration of underlying factors and the development of coping skills; and the initiation of social and vocational rehabilitation. Intensive outpatient treatment programmes are becoming more common in the treatment of eating disorders. However, a Freedom of Information request in April 2019 found that just a third of UK eating disorder services provide an intensive day-or home-based treatment option which offers the levels of intensity indicated by the evidence as necessary to provide optimum outcomes. Whilst inpatient treatment will always be necessary for the most severe and urgent of cases, it appears that it is being used for a large number of patients who could be treated in the community if appropriate options existed. This is despite intensive day-and home-based treatments having benefits over inpatient treatment. Beat's Recommendations: 1. All NHS commissioners should ensure that evidencebased intensive day-and home-based treatment options are available to meet the needs of all patients with an eating disorder. 2. Eating disorder services should be incentivised to develop and test different models of intensive day-and home-based treatment alongside research to evaluate these, so that the models that deliver the best results can be identified and promoted for adoption nationwide. 3. Investment in new intensive day-and home-based treatment services should be resourced prospectively in recognition of the cost savings which will be achieved from the resulting reduction in inpatient care. 4. Financial savings beyond the costs of setting up and running new intensive services should be re-invested in encouraging and enabling people to seek and start eating disorder treatment at the earliest possible stage in their illness. Why should intensive day- or home-based treatments be considered? Equivalent treatment outcomes Intensive day-and home-based treatments have been found to be effective in the treatment of eating disorders, for both adolescents and adults, with research suggesting that DTPs are at least as effective as inpatient treatment. Hay et al. concluded that there was insufficient evidence for any treatment setting to be viewed as superior in the treatment of eating disorders. Greater treatment acceptability Qualitative accounts of intensive outpatient programmes tend to be positive and highlight that although the treatment is challenging, these models of treatment are helpful and acceptable to patients. When compared to inpatient treatment, experiences tend to refer to the benefits of remaining in the community rather than being on an inpatient unit, for example, being a bit more normal, as well as the increased sustainability around this due to being able to apply the skills they learn to their everyday environment immediately. For example, one patient stated: I much preferred it to being in hospital. It helped me more than being in hospital ever did because as soon as s soon as I came out of hospital I just lost all the weight again. Reduced hospital admissions and/ or length of stay In circumstances where inpatient treatment is needed, intensive day-and ome-based programmes can be utilised to provide a step-down from hospitalisation, thus reducing the length of admission period. In England, inpatient providers with step-down services have been found to have a significantly lower average length of stay. Similarly, intensive day-and home-based treatment can also be used as a step-up from standard outpatient treatment and can avoid the need for an inpatient admission. For example, Serrano et al. found that the year following the introduction of a Spanish DTP for adolescents with eating disorders, the average length of stay for those in inpatient treatment was reduced from 30 days to 21 days, and 70% of patients who participated in the DTP avoided an inpatient admission completely. Lower cost In addition to allowing patients to stay at home or return to their home environment quicker, avoiding or reducing inpatient admission time also has the benefit of reducing the overall cost of treatment. South London and Maudsley NHS Trust report that 87,000 can be saved per young person, for admission to an intensive treatment programme rather than an inpatient unit. These savings are due to a difference in average treatment duration, with fewer days in treatment necessary when the young person attends the intensive treatment programme (38 days compared to 196 days in an inpatient unit). Similarly, Munro and colleagues and demonstrated the potential cost-savings of providing an intensive outpatient treatment programme. Following the expansion of their ANITT service in 2011, the total annual cost of caring for patients with severe anorexia nervosa had fallen from 2008 (prior to service expansion) by 391,656. This was attributed to a reduction in the number and duration of admissions. Increased family empowerment Families commonly feel disempowered when the sufferer is admitted to an inpatient unit, often reporting that they should have been able to prevent it. They also report feelings of anxiety about how they will manage once the sufferer returns home. Traditionally parents may be invited to review meetings or to a weekly family therapy session, however the inpatient unit staff will be the decision makers. Therefore, when the sufferer returns home, carers are ill-equipped to offer the best support. Although inpatient units are shifting towards adopting a more familybased approach, supporting the family to help the sufferer in the community is likely to remain more empowering.",TRUE,Mentions NHS and UK eating disorder services.,TRUE,Study involves NHS and community health settings for eating disorder treatments.,TRUE,"Unclear publication type, flagged for review",Unknown,0.6,FALSE,No explicit or implicit comparator detected,FALSE,Unknown,TRUE,"['cost', 'utilization']",0.8
J6204,2025,Application of the Analytical Hierarchy Process in the management of private ambulance care systems in three selected European countries: a strategic decision-making framework,"Private ambulance services play a vital role in healthcare systems across Europe, supplementing public emergency services and providing essential medical transportation. However, managing these services presents significant challenges, including resource allocation, regulatory compliance, service quality, technological integration, workforce management, and financial sustainability. This study employs the Analytical Hierarchy Process (AHP) as a strategic decision-making tool to optimize the management of private ambulance services in Germany, Spain, and the United Kingdom. To achieve this, data were collected from 20 participants across the three countries (Germany: 7, Spain: 6, United Kingdom: 7), comprising ambulance service administrators, emergency medical personnel, and regulatory experts. A purposive sampling method was used to ensure the inclusion of key stakeholders with direct experience in the sector. Participants completed structured questionnaires involving pairwise comparisons of key decision criteria. Results reveal that Regulatory Compliance is the highest priority across all countries (Germany: 0.25, Spain: 0.22, UK: 0.20), followed by Service Quality, which is particularly emphasized in the UK (0.22) and Germany (0.20). Technological Integration is important in Spain (0.20), reflecting the need for advancements in underserved areas. While Workforce Management and Financial Sustainability rank slightly lower, they remain critical for operational efficiency. The study highlights country-specific challenges and regulatory differences and provides actionable recommendations for optimizing resource allocation, improving service quality, and ensuring compliance. Despite limitations such as potential biases and a narrow geographic focus, the findings offer valuable insights for refining management practices and enhancing the sustainability of private ambulance services across Europe.",TRUE,Study includes UK as a site.,TRUE,"Study involves private ambulance services in the UK, part of Health & Social Care.",TRUE,Appears to be a peer-reviewed article,Peer-reviewed,0.9,FALSE,No comparator or primary outcomes detected,FALSE,Unknown,FALSE,[],0.9
J6210,2025,"Understanding the impact of vitamin D supplement formulation, quality and provision to older adults in UK residential care homes","Supplying vitamin D supplements to all older adults is beneficial and cost-effective. However, operationalising this supply to residents in long-term care is problematic. This study aimed to understand the challenges of vitamin D supplement provision by auditing the extent of supplementation, measuring the quality of the supplements and investigating the attitudes towards supplement provision in UK care homes. This case study investigated the supply of vitamin D supplement formulations in four UK care homes and analysed the vitamin D content of nine formulation types. It employed semi-structured interviews with care home stakeholders to understand attitudes toward vitamin D supply. Across the nine analysed products, there was >50% variability in their quality (75-137% of the label), but 44% of supplements were of medicinal grade. One tablet from a food-grade product contained 167% vitamin D, and one medicinal-grade tablet only contained 70% vitamin D. Interviews with care home staff highlighted four challenges to providing supplements: the perceived responsibility of healthcare professionals to supplement, difficulties obtaining prescription medications, the absence of national/local strategies, and the financial burden. This study demonstrated sub-optimal vitamin D supplement supply to care home residents, with staff unclear about who was responsible for choosing the correct type of vitamin D supplement, who paid for it, and who was to supply it. This study suggests a new approach to delivering vitamin D supplements to older adults is needed.",TRUE,Study conducted in UK care homes.,TRUE,"Study occurs in UK care homes, part of Health & Social Care.",TRUE,Appears to be a peer-reviewed research article.,Peer-reviewed,0.9,FALSE,No comparison group detected,FALSE,Unknown,TRUE,['cost'],0.8
J6217,2025,Genetic liability to psoriasis predicts severe disease outcomes,"Background Psoriasis is a common inflammatory skin disease with heterogeneous presentation. Up to 30% of individuals have severe disease with a greater surface area of skin involvement, comorbidity burden and impact on quality of life. Prognostic biomarkers of psoriasis severity could improve allocation of clinical resources and enable earlier intervention to prevent disease progression, and a genetic biomarker would be cost-effective, stable over time, and unaffected by treatment or comorbidity. Methods Psoriasis severity was studied in four European population-based biobanks and classified based on level of clinical intervention received, with criteria for severe disease including hospitalisation due to psoriasis, use of systemic immunomodulating therapy or phototherapy. Common genetic variants, polygenic risk scores and traditional epidemiological risk factors were tested for association with severe psoriasis in each of the constituent biobanks and combined through meta-analysis. The distribution of psoriasis polygenic risk was also evaluated in a cohort of 4 151 participants in the UK-based severe psoriasis registry, BSTOP. Results In the population-based datasets, 9 738 of 44 904 individuals with psoriasis (21.7%) were classified as having severe disease. Genetic variants within the major histocompatibility complex (MHC) and the TNIP1 and IL12B psoriasis susceptibility loci were associated with severe disease at genome-wide significance (P<5.0x10<sup>-8</sup>). Furthermore, a strong positive correlation was observed between psoriasis susceptibility and severity effect sizes across all psoriasis susceptibility loci. An individual's genetic liability to psoriasis as measured with a polygenic risk score (PRS) strongly associated with disease severity, with a magnitude of effect comparable to established severity risk factors such as obesity and smoking. The top 5% of psoriasis cases by genetic liability to psoriasis were 1.23-to-2.00 times as likely than the average psoriasis case to have severe disease. Psoriasis cases in the BSTOP severe disease registry were 3.10-fold enriched for a PRS that exceeded the 95th percentile established among UK Biobank psoriasis cases. Conclusions The psoriasis susceptibility PRS demonstrates utility, and may be more effective than established epidemiological factors, as a stratification tool to identify those individuals that are at greatest risk of severe disease and may benefit most from early intervention. Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license.",TRUE,"Study includes UK-based severe psoriasis registry, BSTOP.",TRUE,"Study involves UK-based severe psoriasis registry, likely NHS setting.",TRUE,"Unclear publication type, flagged for review",Unknown,0.7,FALSE,No explicit or implicit comparator detected,FALSE,Unknown,TRUE,"['clinical', 'pro']",0.9
J6225,2025,Breast cancer MDT streamlining: Current oncology UK practice,"Purpose: Breast cancer multidisciplinary teams (MDTs) ensure high-quality care by bringing together specialists. However, increasing patient numbers and case complexities have strained traditional MDTs. NHS England recommendations complement Sibbering's MDT Toolkit, recommending excluding straightforward cases based on protocols, allowing more focused discussions on complex cases. [1,2] Streamlining strategies including pre-meeting preparation and triage reduce workload without compromising care quality. These methods ensure complex cases receive required attention, enhance clinician engagement, support trainee development, and provide optimal, evidence-based treatment as cancer care evolves. [1,2,3,4] Although crucial for addressing rising workloads and workforce shortages, its nationwide implementation has progressed slowly. [4] Methods: A mixed-methods survey was distributed to consultants on the UK Breast Cancer Group mailing list to assess MDT workload and streamlining measures. Result(s): 63 oncology consultants responded, with 58.7% being clinical oncologists and 41.3% medical oncologists, representing the UK, including Scotland, Wales, and Northern Ireland. Most respondents (47.6%) attended two MDTs weekly, with a median MDT time of 2-4 hours per week. Regarding case discussions, 68.3% included benign breast cases, and 38.1% had separate metastatic breast MDTs. All respondents discussed new early breast cancer cases, while 41 discussed all new metastatic cases, and 14 discussed metastatic cases requiring treatment changes. Overall, 73% did not have a pre-MDT triage meeting. Those with triage mostly involved breast surgeons, with minimal input from radiology or oncology. Clinicians noted inefficiencies, such as irrelevant discussions and redundant consultant participation. To improve efficiency, some suggested discussing benign cases after oncologists left and addressing metastatic cases separately or at specific times with radiological input. Conclusion(s): The survey reveals the strain on UK breast cancer MDTs from rising caseloads and complexity. Streamlining strategies like pre-MDT triaging, protocol-driven standards, and better role allocation can enhance efficiency, reduce clinician burnout, and optimise time. Adapting MDT practices is vital for sustaining high-quality, evidence-based care amid growing demands. References: 1. Sibbering M. Improving the efficiency of breast multidisciplinary team meetings: A toolkit for breast services. Association of Breast Surgery, 2020. Available at https://associationofbreastsurgery.org.uk/media/wrift1ue/mdm-toolkit-complete.pdf [Accessed 18 Sep 2024]. 2. NHS England and NHS Improvement. Streamlining multi-disciplinary team meetings: Guidance for cancer alliances. Available at https://www.england.nhs.uk/wp-content/uploads/2020/01/multi-disciplinary-team-streamlining-guidance.pdf [accessed 18th sept 2024]. 3. Soukup T, Gandamihardja TA, McInerney S, Green JS, Sevdalis N. Do multidisciplinary cancer care teams suffer decision-making fatigue: an observational, longitudinal team improvement study. BMJ Open 2019;9:e027303. 4. Al-Hammouri T, Almeida-Magana R, Soukup T, Lamb B. Implementation of streamlining measures in selecting and prioritizing complex cases for the cancer multidisciplinary team meeting: a mini review of the recent developments. Front Health Serv. 2024 Mar 12;4:1340320. Copyright Ã‚Â© 2024",TRUE,Study conducted in the UK with NHS England references.,TRUE,Study occurs in NHS settings with focus on MDTs.,TRUE,Peer-reviewed article on MDT practices in oncology.,Peer-reviewed,0.9,FALSE,No clear comparator or primary outcomes with numeric estimates,FALSE,Unknown,TRUE,['clinical'],0.7
J6226,2025,Experiences and perceptions of using a digital health intervention,"Purpose: Introduction: Technological-based solutions for healthcare specialities have become favourable worldwide, and digital healthcare is revolutionising the medical arena. However, we need to find out whether and how it is going to help patients. One innovation in healthcare is to change outpatient care using technology so that patients can be seen, diagnosed and managed with fewer hospital visits. Telemedicine allows patients to consult with healthcare providers from their own homes, thus eliminating geographical barriers and reducing the need for in-person visits enhancing sustainability and reducing carbon emissions. It has been shown that telemedicine can significantly improve patient satisfaction, access to care, and clinical outcomes (Ammenwerth, & de Keizer, 2020; Bashshue et al., 2011). The 'Virtual Lucy platform' is an innovative pathway designed to find the best possible solutions that will have the highest productivity and efficiency levels for the NHS, clinicians and patients and encompasses the aforementioned health technologies (Virtual Lucy, 2023). Aim(s): The aim of this study is to explore public and patient experiences and perceptions of engaging or choosing not to engage with using Virtual Healthcare Platforms (including Virtual Lucy) for medical treatment. Method(s): A qualitative approach was adopted. Eleven (n=11) participants were recruited from the Stroke Hub Wales (SHW) and Health Business Solutions Virtual Lucy research databases. Semi-structured interviews were conducted, and the verbatim transcriptions were analysed using reflective thematic analysis according to Braun and Clarke (2006). Result(s): Analysis & Findings: Pseudonyms were assigned to each participant with any identifiable information removed. Thematic analysis was conducted to evaluate participant experiences, perspectives, views, impact of, and to identify themes when using digital health interventions. Two preliminary main themes were identified: (1) Virtual Healthcare Technology: an enabler versus a barrier and (2) Healthcare technology the way forward: the provider. Conclusion(s): Discussion & Conclusion(s): Most participants embraced and acknowledged the use of technology (virtual consultations) for their healthcare, which provided a sense of efficiency, saved time, reduced stigma and was private and impactful on healthcare. However, some participants highlighted face-to-face consultations' balance, value and importance. There were also reflections on the ageing population, digital literacy and applicability of the technology for certain medical conditions. These experiences and perceptions outlined by participants offer important insights for those facilitating technological advances in healthcare; thus, addressing capacity, productivity and sustainability issues by improving efficiency, reducing waiting times and carbon footprint, and improving cost-saving ways for delivering healthcare. The research presented here also offers insight into recognising the limitations of digital healthcare and persons who may not have access to supportive technologies and may have issues with digital literacy. Impact: This project adds to the growing body of evidence in support of digital healthcare interventions for chronic conditions from patient experiences and perspectives. It provides an underpinning for improvement to our online offerings and supports the HBSUK vision of 'Making Healthcare Better'. It is also important to mention that this project has been presented to the Stroke Hub Wales (SHW) Public and Patient Involvement Committee, who were in support of this research. Funding acknowledgements: N/A Keywords: Digital Health, Experiences, Perceptions Copyright Ã‚Â© 2025",TRUE,Study involves NHS and Stroke Hub Wales.,TRUE,Study involves NHS settings via Virtual Lucy platform.,TRUE,"Qualitative study on digital health, not a protocol or commentary.",Unknown,0.8,FALSE,No comparator group detected,FALSE,Unknown,TRUE,"['cost', 'impact']",0.8
